         7888148 function calls (7801200 primitive calls) in 16.864 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-165>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-165>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-166>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-166>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-167>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-168>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-169>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-169>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-16>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-170>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-171>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-171>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-172>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-173>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-173>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-174>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-175>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-175>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-176>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-177>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-177>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-178>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-179>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-179>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-17>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-17>:1(_nodes_or_number)
        1    0.000    0.000    0.000    0.000 <decorator-gen-180>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-181>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-181>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-182>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-183>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-183>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-184>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-185>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-185>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-186>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-187>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-187>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-188>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-189>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-189>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-18>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-190>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-191>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-191>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-192>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-193>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-193>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-194>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-195>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-195>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-196>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-197>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-197>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-198>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-199>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-199>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-19>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-19>:1(_nodes_or_number)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(_random_state)
        1    0.000    0.000    0.000    0.000 <decorator-gen-200>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-201>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-201>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-202>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-203>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-203>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-204>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-205>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-205>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-206>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-207>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-207>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-208>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-209>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-209>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-20>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-210>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-211>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-211>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-212>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-213>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-213>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-214>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-215>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-215>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-216>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-217>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-217>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-218>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-219>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-219>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-21>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-21>:1(_nodes_or_number)
        1    0.000    0.000    0.000    0.000 <decorator-gen-220>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-221>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-221>:1(_random_state)
        1    0.000    0.000    0.000    0.000 <decorator-gen-222>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-223>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-223>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-224>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-225>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-225>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-226>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-226>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-227>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-228>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-229>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-229>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-22>:1(<module>)
        2    0.000    0.000    0.000    0.000 <decorator-gen-22>:1(empty_graph)
        1    0.000    0.000    0.000    0.000 <decorator-gen-230>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-231>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-231>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-232>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-232>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-233>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-234>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-235>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-235>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-236>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-237>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-237>:1(_not_implemented_for)
        1    0.000    0.000    0.000    0.000 <decorator-gen-238>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-239>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-239>:1(_not_implemented_for)
